Share pledge ratio of controlling shareholders,Pledge ratio of unlimited shares,audit opinion ,Downgrade or negative,Ratio of other receivables to total assets,ROA,Asset liability ratio,Pledge ratio of limited sale shares,ROE,Enterprise age,IsDefault
0.334574065,0.0,0.0,0.0,0.007095707,0.093634,0.257627902,0.0,0.111934,15.90277778,0
0.25599774,0.0,0.0,0.0,0.003233719,0.104889,0.255969057,0.0,0.121901,5.830555556,0
0.34285705,0.052319092,0.0,0.0,0.008203091,0.065192,0.111499301,0.0,0.073337,11.58333333,0
0.0,0.011982109,0.0,0.0,0.013702678,0.081816,0.428563213,0.0,0.121065,27.55833333,0
0.201367632,0.086715346,0.0,0.0,0.005056964,0.103099,0.452115459,0.0,0.167602,5.944444444,0
0.180574705,0.141269009,0.0,0.0,0.004158484,0.203839,0.213644039,0.0,0.307118,3.35,0
0.258097067,0.0,0.0,0.0,0.018474901,0.076397,0.094751327,0.0,0.090077,6.822222222,0
0.451345258,0.124376248,0.0,0.0,0.011198441,0.247367,0.366525794,0.0,0.279402,25.16666667,0
0.0,0.30983889,0.0,0.0,0.001742923,0.133773,0.581928966,0.0,0.197307,8.461111111,0
0.006373178,0.00610083,0.0,0.0,0.027494111,0.120086,0.180910896,0.0,0.131427,11.16666667,0
0.117649714,0.055469204,0.0,0.0,0.015110501,0.116329,0.505995082,0.0,0.219138,10.61388889,0
0.561138782,0.260658452,0.0,0.0,0.003116734,0.067449,0.536204659,0.0,0.071941,22.15833333,0
0.304837708,0.143772979,0.0,0.0,0.020117763,0.056396,0.583990342,0.0,0.05765,16.34166667,0
0.337450206,0.117228705,0.0,0.0,0.006040055,0.183723,0.135458006,0.0,0.201705,11.43888889,0
0.102014857,0.0,0.0,0.0,0.005155984,0.237838,0.494418584,0.0,0.394599,6.333333333,0
0.522470299,0.0,0.0,0.0,0.014050596,0.063424,0.160331665,0.0,0.070512,7.161111111,0
0.316622691,0.0,0.0,0.0,0.006337513,0.086465,0.340766128,0.0,0.111231,9.938888889,0
0.067048394,0.033655949,0.0,0.0,0.00386542,0.114932,0.376453916,0.0,0.155868,4.366666667,0
0.0,0.0,0.0,0.0,0.063175483,0.117785,0.535987882,0.0,0.227241,1.594444444,0
0.651504012,0.279825155,0.0,0.0,0.014303735,0.153673,0.157642233,0.0,0.202345,4.166666667,0
0.03886017,0.027678282,0.0,0.0,0.004368193,0.057671,0.551107386,0.0,0.099365,13.01666667,0
0.979850201,0.0,0.0,0.0,0.014521235,0.068012,0.578503808,0.0,0.11076,5.455555556,0
0.544977675,0.308613905,0.0,0.0,0.005010383,0.083569,0.528013232,0.0,0.135349,9.0,0
0.699767316,0.026714832,0.0,0.0,0.00516748,0.126693,0.473805768,0.384115397,0.177526,2.041666667,0
0.691182484,0.285826622,0.0,0.0,0.034099672,-0.054898,0.740635677,0.0,-0.282816,28.06944444,0
0.107864257,0.0362399,0.0,0.0,0.004246923,0.189168,0.339259036,0.009597709,0.23199,3.947222222,0
0.396745273,0.260274905,0.0,0.0,0.00531436,0.060687,0.426736485,0.0,0.110712,5.636111111,0
0.0,0.0,0.0,0.0,0.012786969,0.230791,0.403305232,0.0,0.340921,6.591666667,0
0.0,0.0,0.0,0.0,0.004547785,0.097913,0.200144831,0.0,0.114067,17.73055556,0
0.247323143,0.0,0.0,0.0,0.007880047,0.088968,0.466355416,0.0,0.1342,17.05277778,0
0.031943468,0.106874167,0.0,0.0,0.000159671,0.246246,0.194134558,0.0,0.26105,4.505555556,0
0.592841185,0.224815752,0.0,0.0,0.061927335,0.033481,0.604408884,0.0,0.029264,5.938888889,0
0.400754866,0.14143687,0.0,0.0,0.010523272,0.046489,0.766293806,0.0,0.12741,9.694444444,0
0.118811158,0.058603125,0.0,0.0,0.003440981,0.111795,0.222465631,0.066603125,0.152807,1.5,0
0.695672119,0.0,0.0,0.0,0.005578319,0.148047,0.30695159,0.0,0.196313,9.591666667,0
0.552695268,0.0,0.0,0.0,0.013760397,0.209966,0.231003694,0.0,0.234567,10.70277778,0
0.0638305,0.0,0.0,0.0,0.006703218,0.021207,0.535291084,0.0,0.016725,4.619444444,0
0.618934757,0.0,0.0,0.0,0.005607224,0.032911,0.15799993,0.0,0.032508,4.333333333,0
0.289325539,0.058711031,0.0,0.0,0.047416165,0.255893,0.370182656,0.0,0.355032,4.469444444,0
0.194955168,0.01788582,0.0,0.0,0.010105946,0.257096,0.328255273,0.107597098,0.323657,11.81944444,0
0.220685827,0.0,0.0,0.0,0.010138145,0.127465,0.345055427,0.0,0.185386,4.558333333,0
0.16485138,0.0,0.0,0.0,0.01359559,0.016285,0.471885775,0.0,0.02083,8.863888889,0
0.537947464,0.219928168,0.0,0.0,0.022287876,0.082069,0.501409653,0.0,0.130722,20.00833333,0
0.629441543,0.286232136,0.0,0.0,0.010941656,0.1225,0.625411568,0.0,0.255472,17.56388889,0
0.402054484,0.120558504,0.0,0.0,0.012503929,0.099046,0.269589222,0.0,0.156079,3.15,0
0.493931557,0.090978337,0.0,0.0,0.010539586,0.077291,0.325984061,0.0,0.101491,120.0027778,0
0.499962356,0.246359772,0.0,0.0,0.003321033,0.120404,0.63034553,0.0,0.227553,24.98611111,0
0.483466631,0.16255327,0.0,0.0,0.004382586,0.082475,0.551911871,0.022747768,0.110981,5.227777778,0
0.067923609,0.027835,0.0,0.0,0.006656977,0.137886,0.393383014,0.0,0.202277,4.069444444,0
0.593646205,0.200941915,0.0,0.0,0.006525141,0.021068,0.345582431,0.0,0.025703,11.21666667,0
